时间,省份,确诊,疑似,治愈,死亡
2020/1/23,宁夏,0,0,0,0
2020/1/23,内蒙古,0,0,0,0
2020/1/23,西藏,0,0,0,0
2020/1/23,北京,0,0,0,0
2020/1/23,天津,0,0,0,0
2020/1/23,上海,0,0,0,0
2020/1/23,重庆,0,0,0,0
2020/1/23,香港,2,0,0,0
2020/1/23,澳门,2,0,0,0

2020/1/24,全国,1287,1965,38,41
2020/1/24,广东,0,0,0,0
2020/1/24,青海,0,0,0,0
2020/1/24,四川,0,0,0,0
2020/1/24,海南,0,0,0,0
2020/1/24,陕西,0,0,0,0
2020/1/24,甘肃,0,0,0,0
2020/1/24,云南,0,0,0,0
2020/1/24,湖南,0,0,0,0
2020/1/24,湖北,0,0,0,39
2020/1/24,黑龙江,0,0,0,1
2020/1/24,贵州,0,0,0,0
2020/1/24,山东,0,0,0,0
2020/1/24,江西,0,0,0,0
2020/1/24,河南,0,0,0,0
2020/1/24,河北,0,0,0,1
2020/1/24,山西,0,0,0,0
2020/1/24,安徽,0,0,0,0
2020/1/24,福建,0,0,0,0
2020/1/24,浙江,0,0,0,0
2020/1/24,江苏,0,0,0,0
2020/1/24,吉林,0,0,0,0
2020/1/24,辽宁,0,0,0,0
2020/1/24,台湾,3,0,0,0
2020/1/24,新疆,0,0,0,0
2020/1/24,广西,0,0,0,0
2020/1/24,宁夏,0,0,0,0
2020/1/24,内蒙古,0,0,0,0
2020/1/24,西藏,0,0,0,0
2020/1/24,北京,0,0,0,0
2020/1/24,天津,0,0,0,0
2020/1/24,上海,0,0,0,0
2020/1/24,重庆,0,0,0,0
2020/1/24,香港,5,0,0,0
2020/1/24,澳门,2,0,0,0

2020/1/25,全国,1975,2684,49,56
2020/1/25,广东,0,0,0,0
2020/1/25,青海,0,0,0,0
2020/1/25,四川,0,0,0,0
2020/1/25,海南,0,0,0,0
2020/1/25,陕西,0,0,0,0
2020/1/25,甘肃,0,0,0,0
2020/1/25,云南,0,0,0,0
2020/1/25,湖南,0,0,0,0
2020/1/25,湖北,0,0,0,0
2020/1/25,黑龙江,0,0,0,0
2020/1/25,贵州,0,0,0,0
2020/1/25,山东,0,0,0,0
2020/1/25,江西,0,0,0,0
2020/1/25,河南,0,0,0,0
2020/1/25,河北,0,0,0,0
2020/1/25,山西,0,0,0,0
2020/1/25,安徽,0,0,0,0
2020/1/25,福建,0,0,0,0
2020/1/25,浙江,0,0,0,0
2020/1/25,江苏,0,0,0,0
2020/1/25,吉林,0,0,0,0
2020/1/25,辽宁,0,0,0,0
2020/1/25,台湾,3,0,0,0
2020/1/25,新疆,0,0,0,0
2020/1/25,广西,0,0,0,0
2020/1/25,宁夏,0,0,0,0
2020/1/25,内蒙古,0,0,0,0
2020/1/25,西藏,0,0,0,0
2020/1/25,北京,0,0,0,0
2020/1/25,天津,0,0,0,0
2020/1/25,上海,0,0,0,0
2020/1/25,重庆,0,0,0,0
2020/1/25,香港,5,0,0,0
2020/1/25,澳门,2,0,0,0

2020/1/26,全国,2744,5794,51,80
2020/1/26,广东,0,0,0,0
2020/1/26,青海,0,0,0,0
2020/1/26,四川,0,0,0,0
2020/1/26,海南,0,0,0,0
2020/1/26,陕西,0,0,0,0
2020/1/26,甘肃,0,0,0,0
2020/1/26,云南,0,0,0,0
2020/1/26,湖南,0,0,0,0
2020/1/26,湖北,0,0,0,0
2020/1/26,黑龙江,0,0,0,0
2020/1/26,贵州,0,0,0,0
2020/1/26,山东,0,0,0,0
2020/1/26,江西,0,0,0,0
2020/1/26,河南,0,0,0,0
2020/1/26,河北,0,0,0,0
2020/1/26,山西,0,0,0,0
2020/1/26,安徽,0,0,0,0
2020/1/26,福建,0,0,0,0
2020/1/26,浙江,0,0,0,0
2020/1/26,江苏,0,0,0,0
2020/1/26,吉林,0,0,0,0
2020/1/26,辽宁,0,0,0,0
2020/1/26,台湾,4,0,0,0
2020/1/26,新疆,0,0,0,0
2020/1/26,广西,0,0,0,0
2020/1/26,宁夏,0,0,0,0
2020/1/26,内蒙古,0,0,0,0
2020/1/26,西藏,0,0,0,0
2020/1/26,北京,0,0,0,0
2020/1/26,天津,0,0,0,0
2020/1/26,上海,0,0,0,0
2020/1/26,重庆,0,0,0,0
